Año,Id Política,Nombre Política,Id Programa,Nombre Programa,Presupuesto Gasto,Gasto Real
2007,12,Defensa,,,7693334600.0,
2007,12,Defensa,121M,Administración y Servicios Generales de Defensa,1254904640.0,
2007,12,Defensa,122N,Apoyo Logístico,1732201560.0,
2007,12,Defensa,122M,Gastos Operativos de las Fuerzas Armadas,2226488870.0,
2007,12,Defensa,121N,Formación del Personal de las Fuerzas Armadas,465912400.0,
2007,12,Defensa,121O,Personal en reserva,638934230.0,
2007,12,Defensa,122A,Modernización de las Fuerzas Armadas,1374892900.0,
2007,31,Sanidad,,,4199726150.0,
2007,31,Sanidad,312F,Atención primaria de salud de Mutuas colaboradoras con la Seguridad Social e Instituto Social de la Marina,1036569480.0,
2007,31,Sanidad,311M,Dirección y Servicios Generales de Sanidad,80707430.0,
2007,31,Sanidad,313B,"Salud pública, sanidad exterior y calidad",36574540.0,
2007,31,Sanidad,313C,Seguridad alimentaria y nutrición,18084030.0,
2007,31,Sanidad,312E,Asistencia sanitaria del Mutualismo Administrativo,1879486910.0,
2007,31,Sanidad,313A,Prestaciones sanitarias y farmacia,42474980.0,
2007,31,Sanidad,312A,Asistencia hospitalaria en las Fuerzas Armadas,216828270.0,
2007,31,Sanidad,313D,"Donación y trasplante de órganos, tejidos y células",4098500.0,
2007,31,Sanidad,312C,Atención especializada de salud. Instituto Nacional de Gestión Sanitaria,133527700.0,
2007,31,Sanidad,311O,Políticas de Salud y Ordenación Profesional,226573610.0,
2007,31,Sanidad,312G,Atención especializada de salud de Mutuas colaboradoras con la Seguridad Social e Instituto Social de la Marina,389327730.0,
2007,31,Sanidad,312D,Medicina marítima,35858950.0,
2007,31,Sanidad,312B,Atención primaria de salud. Instituto Nacional de Gestión Sanitaria,53744770.0,
2007,31,Sanidad,312M,Asistencia sanitaria de la Seguridad Social gestionada por Comunidades Autónomas,45869250.0,
2007,49,Otras actuaciones de carácter económico,,,430822750.0,
2007,49,Otras actuaciones de carácter económico,491M,Ordenación y promoción de las telecomunicaciones y de la Sociedad de la Información,33994420.0,
2007,49,Otras actuaciones de carácter económico,495A,Desarrollo y aplicación de la información geográfica española,52111350.0,
2007,49,Otras actuaciones de carácter económico,492M,Defensa de la competencia en los mercados y regulación de sectores productivos,8976830.0,
2007,49,Otras actuaciones de carácter económico,492N,Regulación y vigilancia de la competencia en el Mercado de Tabacos,10501150.0,
2007,49,Otras actuaciones de carácter económico,493O,Regulación contable y de auditorías,7526880.0,
2007,49,Otras actuaciones de carácter económico,495B,Meteorología,104833370.0,
2007,49,Otras actuaciones de carácter económico,495C,Metrología,9729320.0,
2007,49,Otras actuaciones de carácter económico,494M,Administración de las relaciones laborales y condiciones de trabajo,73080170.0,
2007,49,Otras actuaciones de carácter económico,493M,"Dirección, control y gestión de seguros",12214680.0,
2007,49,Otras actuaciones de carácter económico,492O,Protección y promoción de los derechos de los consumidores y usuarios,19824210.0,
2007,49,Otras actuaciones de carácter económico,491N,Servicio postal universal,96537330.0,
2007,49,Otras actuaciones de carácter económico,493N,Regulación de mercados financieros,1493040.0,
2007,45,Infraestructuras,,,9889329650.0,
2007,45,Infraestructuras,454M,Regulación y seguridad del tráfico marítimo,218906510.0,
2007,45,Infraestructuras,452A,Gestión e infraestructuras del agua,1761134140.0,
2007,45,Infraestructuras,456A,Calidad del agua,606414860.0,
2007,45,Infraestructuras,451O,Dirección y Servicios Generales para la Transición Ecológica y el Reto Demográfico,86411330.0,
2007,45,Infraestructuras,453M,Ordenación e inspección del transporte terrestre,55809580.0,
2007,45,Infraestructuras,455M,Regulación y supervisión de la aviación civil,44013390.0,
2007,45,Infraestructuras,451N,"Dirección y Servicios Generales de Transportes, Movilidad y Agenda Urbana",169921920.0,
2007,45,Infraestructuras,456B,Protección y mejora del medio ambiente,57363690.0,
2007,45,Infraestructuras,453B,Creación de infraestructura de carreteras,2747765680.0,
2007,45,Infraestructuras,451M,Estudios y servicios de asistencia técnica en Obras Públicas y Urbanismo,43615410.0,
2007,45,Infraestructuras,456C,Protección y mejora del medio natural,346950520.0,
2007,45,Infraestructuras,453A,Infraestructura del transporte ferroviario,1814318570.0,
2007,45,Infraestructuras,452M,Normativa y ordenación territorial de los recursos hídricos,48433750.0,
2007,45,Infraestructuras,456M,Actuaciones para la prevención de la contaminación y el cambio climático,9486440.0,
2007,45,Infraestructuras,456D,Actuación en la costa,271040790.0,
2007,45,Infraestructuras,453C,Conservación y explotación de carreteras,1141473070.0,
2007,45,Infraestructuras,457M,Infraestructuras en comarcas mineras del carbón,466270000.0,
2007,46,"Investigación, desarrollo e innovación",,,3783057370.0,
2007,46,"Investigación, desarrollo e innovación",463A,Investigación científica,720630730.0,
2007,46,"Investigación, desarrollo e innovación",467G,Investigación y desarrollo de la Sociedad de la Información,163593550.0,
2007,46,"Investigación, desarrollo e innovación",462M,Investigación y estudios sociológicos y constitucionales,13376820.0,
2007,46,"Investigación, desarrollo e innovación",467A,Astronomía y astrofísica,15870780.0,
2007,46,"Investigación, desarrollo e innovación",464A,Investigación y estudios de las Fuerzas Armadas,356821360.0,
2007,46,"Investigación, desarrollo e innovación",467E,Investigación oceanográfica y pesquera,52076320.0,
2007,46,"Investigación, desarrollo e innovación",462N,Investigación y estudios estadísticos y económicos,7123660.0,
2007,46,"Investigación, desarrollo e innovación",465A,Investigación sanitaria,333578840.0,
2007,46,"Investigación, desarrollo e innovación",463B,Fomento y coordinación de la investigación científica y técnica,863589930.0,
2007,46,"Investigación, desarrollo e innovación",467I,Innovación tecnológica de las telecomunicaciones,345916230.0,
2007,46,"Investigación, desarrollo e innovación",467F,Investigación geológico-minera y medioambiental,66418380.0,
2007,46,"Investigación, desarrollo e innovación",467H,"Investigación energética, medioambiental y tecnológica",123428640.0,
2007,46,"Investigación, desarrollo e innovación",467D,Investigación y experimentación agraria,71082710.0,
2007,46,"Investigación, desarrollo e innovación",467C,Investigación y desarrollo tecnológico-industrial,629722840.0,
2007,46,"Investigación, desarrollo e innovación",467B,"Investigación, desarrollo y experimentación en transporte e infraestructuras",14303990.0,
2007,46,"Investigación, desarrollo e innovación",466A,Investigación y evaluación educativa,5522590.0,
2007,33,Cultura,,,1122240650.0,
2007,33,Cultura,334A,Promoción y cooperación cultural,33568830.0,
2007,33,Cultura,337C,Protección del Patrimonio Histórico,12648990.0,
2007,33,Cultura,337A,Administración del Patrimonio Histórico-Nacional,136485080.0,
2007,33,Cultura,335A,Música y danza,104205680.0,
