Año,Id Artículo,Nombre Artículo,Id Concepto,Nombre Concepto,Presupuesto Ingresos,Ingresos Reales
2007,22,Sobre consumos específicos,,,10961000000.0,
2007,22,Sobre consumos específicos,220,Impuestos especiales,10961000000.0,
2007,48,De familias e instituciones sin fines de lucro (cap. 4),,,1620070.0,
2007,48,De familias e instituciones sin fines de lucro (cap. 4),480,De familias e instituciones sin fines de lucro (cap. 4),658730.0,
2007,48,De familias e instituciones sin fines de lucro (cap. 4),489/24104,Otras transferencias corrientes (cap. 4),150000.0,
2007,48,De familias e instituciones sin fines de lucro (cap. 4),489/18137,Otras transferencias corrientes. (cap. 4),811340.0,
2007,10,Sobre la renta,,,82915000000.0,
2007,10,Sobre la renta,100,De las personas físicas,39474000000.0,
2007,10,Sobre la renta,101,De sociedades,41641000000.0,
2007,10,Sobre la renta,102,De no residentes,1800000000.0,
2007,12,Cotizaciones sociales,,,120636062580.0,
2007,12,Cotizaciones sociales,120,Cotizaciones de los regímenes especiales de funcionarios,3119302580.0,
2007,12,Cotizaciones sociales,122,Cotizaciones del R.E.T. Autonomos,9442280000.0,
2007,12,Cotizaciones sociales,121,Cotizaciones del Regimen General,70949220000.0,
2007,12,Cotizaciones sociales,123,Cotizaciones por mecanismo de equidad intergeneracional,1350400000.0,
2007,12,Cotizaciones sociales,124,Cotizaciones R.E. Trabajadores del Mar,290690000.0,
2007,12,Cotizaciones sociales,126,Cotizaciones del R.E. Empleados de Hogar,548080000.0,
2007,12,Cotizaciones sociales,127,Cotizaciones de acctes. trabajo y e. p.,7564010000.0,
2007,12,Cotizaciones sociales,125,Cotizaciones R.E. Mineria del Carbon,203420000.0,
2007,12,Cotizaciones sociales,129,Otras cotizaciones,20159220000.0,
2007,12,Cotizaciones sociales,128,"Cotizaciones de desempleados, cese de actividad de trabajadores autónomos y bonificaciones para el fomento del empleo",7009440000.0,
2007,87,Remanente de tesorería,,,2617356640.0,
2007,87,Remanente de tesorería,870,Remanente de tesorería,2610656920.0,
2007,87,Remanente de tesorería,872,Remanente para la cobertura de prestaciones sociales de Accidentes de Trabajo,6699720.0,
2007,23,Sobre tráfico exterior,,,1700000000.0,
2007,23,Sobre tráfico exterior,231,Exacciones reguladoras y otros gravámenes agrícolas,68000000.0,
2007,23,Sobre tráfico exterior,230,Derechos de aduana y exacciones de efecto equivalente establecidos para la importación o exportación de mercancías,1632000000.0,
2007,44,"De Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal (cap. 4)",,,2550444990.0,
2007,44,"De Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal (cap. 4)",440,De sociedades mercantiles estatales (cap. 4),336570.0,
2007,44,"De Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal (cap. 4)",441,De entidades públicas empresariales (cap. 4),2550108420.0,
2007,21,Sobre el Valor Añadido,,,36538000000.0,
2007,21,Sobre el Valor Añadido,210,Impuesto sobre el Valor Añadido,36538000000.0,
2007,77,De empresas privadas (cap. 7),,,102000000.0,
2007,77,De empresas privadas (cap. 7),772,De empresas privadas (cap. 7),102000000.0,
2007,45,De Comunidades Autónomas (cap. 4),,,2641614400.0,
2007,45,De Comunidades Autónomas (cap. 4),459,Otras transferencias corrientes (cap. 4),6384570.0,
2007,45,De Comunidades Autónomas (cap. 4),456,Compensaciones financieras del País Vasco (cap. 4),48980000.0,
2007,45,De Comunidades Autónomas (cap. 4),458,Liquidación de la regularización de los Mossos d´Esquadra (cap. 4),415200000.0,
2007,45,De Comunidades Autónomas (cap. 4),450,Contribuciones Concertadas (cap. 4),1962049830.0,
2007,45,De Comunidades Autónomas (cap. 4),453,Compensación a satisfacer por la Comunidad Autónoma de Canarias por la supresión del I.G.T.E. (cap. 4),209000000.0,
2007,83,Reintegros de préstamos concedidos fuera del Sector Público,,,636313770.0,
2007,83,Reintegros de préstamos concedidos fuera del Sector Público,831,Reintegros de préstamos concedidos fuera del Sector Público a largo plazo,620607500.0,
2007,83,Reintegros de préstamos concedidos fuera del Sector Público,830,Reintegros de préstamos concedidos fuera del Sector Público a corto plazo,15706270.0,
2007,47,De empresas privadas (cap. 4),,,52503330.0,
2007,47,De empresas privadas (cap. 4),470/12301,De empresas privadas (cap. 4),1000000.0,
2007,47,De empresas privadas (cap. 4),471/60001,Aportaciones de empresas colaboradoras para el sostenimiento de los servicios comunes (cap. 4),48940000.0,
2007,47,De empresas privadas (cap. 4),470/24301,Ingresos de empresas privadas (cap. 4),1027820.0,
2007,47,De empresas privadas (cap. 4),479/24201,Otras transferencias corrientes (cap. 4),60000.0,
2007,47,De empresas privadas (cap. 4),471/24104,De empresas privadas (cap. 4),350000.0,
2007,47,De empresas privadas (cap. 4),479/18137,Otras transferencias corrientes. (cap. 4),1125510.0,
2007,11,Sobre el capital,,,72000000.0,
2007,11,Sobre el capital,119,Otros impuestos sobre el capital,72000000.0,
2007,78,De familias e instituciones sin fines de lucro (cap. 7),,,1500000.0,
2007,78,De familias e instituciones sin fines de lucro (cap. 7),782,Ayudas a la investigación (cap. 7),1500000.0,
2007,49,Del exterior (cap. 4),,,7295278940.0,
2007,49,Del exterior (cap. 4),493,Aportaciones derivadas de convenios internacionales de cooperación (cap. 4),7273000.0,
2007,49,Del exterior (cap. 4),490,Del Fondo Social Europeo (cap. 4),943950640.0,
2007,49,Del exterior (cap. 4),492,Otras transferencias de la Unión Europea (cap. 4),744970.0,
2007,49,Del exterior (cap. 4),499,Otras transferencias corrientes (cap. 4),955280.0,
2007,49,Del exterior (cap. 4),491/21211,Del FEAGA (cap. 4),6339611340.0,
2007,49,Del exterior (cap. 4),491/14104,Del FEOGA GARANTÍA (cap. 4),725000.0,
2007,49,Del exterior (cap. 4),491/23225,De la Unión Europea-PAC (cap. 4),18710.0,
